match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,team1_win_percentage,team2_win_percentage,team1_recent_form,team2_recent_form,team1_powerplay,team2_powerplay,team1_death_overs,team2_death_overs
33,"April 17,2025","Wankhede Stadium, Mumbai",MI,SRH,League,MI,Bowl,162.0,5.0,166.0,6.0,completed,MI,Unknown,4,11.0,Will Jacks,Abhishek Sharma,40.0,Pat Cummins,3--36,50.0,42.85714285714285,0.6,0.6,1.495,1.3948412698412698,1.8045602605863191,1.7761194029850746
34,"April 18,2025","M. Chinnaswamy Stadium, Bangalore",RCB,PBKS,League,PBKS,Bowl,95.0,9.0,98.0,5.0,completed,PBKS,Unknown,5,11.0,Tim David,Tim David,50.0,Josh Hazlewood,3--14,62.5,64.70588235294117,0.6,0.6,1.4883720930232558,1.526148969889065,1.6824817518248176,1.8675078864353312
35,"April 19,2025","Narendra Modi Stadium, Ahmedabad",GT,DC,League,GT,Bowl,203.0,8.0,204.0,3.0,completed,GT,Unknown,7,4.0,Jos Buttler,Jos Buttler,97.0,Prasidh Krishna,4--41,60.0,57.14285714285714,0.4,0.4,1.4270462633451957,1.3409090909090908,1.596969696969697,1.6548042704626331
36,"April 19,2025","Sawai Mansingh Stadium, Jaipur",RR,LSG,League,LSG,Bat,180.0,5.0,178.0,5.0,completed,LSG,2,Unknown,0.0,Avesh Khan,Yashasvi Jaiswal,74.0,Avesh Khan,3--37,28.57142857142857,42.85714285714285,0.4,0.4,1.6958174904942966,1.4206500956022945,1.5473684210526315,1.544378698224852
37,"April 20,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,League,RCB,Bowl,157.0,6.0,159.0,3.0,completed,PBKS,Unknown,7,7.0,Virat Kohli,Virat Kohli,73.0,Krunal Pandya,2--25,64.70588235294117,62.5,0.6,0.6,1.526148969889065,1.4883720930232558,1.8675078864353312,1.6824817518248176
38,"April 20,2025","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Bowl,176.0,5.0,177.0,1.0,completed,MI,Unknown,9,26.0,Rohit Sharma,Rohit Sharma,76.0,Jasprit Bumrah,2--25,50.0,28.57142857142857,0.6,0.4,1.495,1.32,1.8045602605863191,1.4597701149425288
39,"April 21,2025","Eden Gardens, Kolkata",KKR,GT,League,KKR,Bowl,198.0,3.0,159.0,8.0,completed,GT,39,Unknown,0.0,Shubman Gill,Shubman Gill,90.0,Prasidh Krishna,2--25,35.714285714285715,60.0,0.2,0.4,1.4717391304347829,1.4270462633451957,1.681159420289855,1.596969696969697
40,"April 22,2025","Ekana Cricket Stadium, Lucknow",LSG,DC,League,DC,Bowl,159.0,6.0,161.0,2.0,completed,DC,Unknown,8,13.0,Mukesh Kumar,KL Rahul,57.0,Mukesh Kumar,4--33,42.85714285714285,57.14285714285714,0.4,0.4,1.4206500956022945,1.3409090909090908,1.544378698224852,1.6548042704626331
41,"April 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,MI,League,SRH,Bowl,143.0,8.0,146.0,3.0,completed,MI,Unknown,7,26.0,Trent Boult,Heinrich Klassen,71.0,Trent Boult,4--26,42.85714285714285,50.0,0.6,0.6,1.3948412698412698,1.495,1.7761194029850746,1.8045602605863191
42,"April 24,2025","M. Chinnaswamy Stadium, Bangalore",RCB,RR,League,RR,Bowl,205.0,5.0,194.0,9.0,completed,RCB,11,Unknown,0.0,Josh Hazlewood,Virat Kohli,70.0,Josh Hazlewood,4--33,62.5,28.57142857142857,0.6,0.4,1.4883720930232558,1.6958174904942966,1.6824817518248176,1.5473684210526315
43,"April 25,2025","MA Chidambaram Stadium, Chennai",CSK,SRH,League,SRH,Bowl,154.0,10.0,155.0,5.0,completed,SRH,Unknown,5,8.0,Harshal Patel,Ishan Kishan,44.0,Harshal Patel,4--28,28.57142857142857,42.85714285714285,0.4,0.6,1.32,1.3948412698412698,1.4597701149425288,1.7761194029850746
44,"April 26,2025","Eden Gardens, Kolkata",KKR,PBKS,League,PBKS,Bat,201.0,4.0,7.0,0.0,tied,Unknown,Unknown,Unknown,114.0,Unknown,Unknown,Unknown,Unknown,Unknown,35.714285714285715,64.70588235294117,0.2,0.6,1.4717391304347829,1.526148969889065,1.681159420289855,1.8675078864353312
45,"April 27,2025","Wankhede Stadium, Mumbai",MI,LSG,League,LSG,Bowl,215.0,7.0,161.0,10.0,completed,MI,54,Unknown,0.0,Will Jacks,Ryan Rickelton,58.0,Jasprit Bumrah,4--22,50.0,42.85714285714285,0.6,0.4,1.495,1.4206500956022945,1.8045602605863191,1.544378698224852
46,"April 27,2025","Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Bowl,162.0,8.0,165.0,4.0,completed,RCB,Unknown,6,9.0,Krunal Pandya,Krunal Pandya,73.0,Bhuvneshwar Kumar,3--33,57.14285714285714,62.5,0.4,0.6,1.3409090909090908,1.4883720930232558,1.6548042704626331,1.6824817518248176
47,"April 28,2025","Sawai Mansingh Stadium, Jaipur",RR,GT,League,RR,Bowl,209.0,4.0,212.0,2.0,completed,RR,Unknown,8,25.0,Vaibhav Suryavanshi,Vaibhav Suryavanshi,101.0,Maheesh Theekshana,2--35,28.57142857142857,60.0,0.4,0.4,1.6958174904942966,1.4270462633451957,1.5473684210526315,1.596969696969697
48,"April 29,2025","Arun Jaitley Stadium, Delhi",DC,KKR,League,DC,Bowl,204.0,9.0,190.0,9.0,completed,KKR,14,Unknown,0.0,Sunil Narine,Faf du Plessis,62.0,Sunil Narine,3--29,57.14285714285714,35.714285714285715,0.4,0.2,1.3409090909090908,1.4717391304347829,1.6548042704626331,1.681159420289855
49,"April 30,2025","MA Chidambaram Stadium, Chennai",CSK,PBKS,League,PBKS,Bowl,190.0,10.0,194.0,6.0,completed,PBKS,Unknown,4,2.0,Shreyas Iyer,Sam Curran,88.0,Yuzvendra Chahal,4--32,28.57142857142857,64.70588235294117,0.4,0.6,1.32,1.526148969889065,1.4597701149425288,1.8675078864353312
50,"May 1,2025","Sawai Mansingh Stadium, Jaipur",RR,MI,League,RR,Bowl,217.0,2.0,117.0,10.0,completed,MI,100,Unknown,23.0,Ryan Rickelton,Ryan Rickelton,61.0,Karn Sharma,3--23,28.57142857142857,50.0,0.4,0.6,1.6958174904942966,1.495,1.5473684210526315,1.8045602605863191
51,"May 2,2025","Narendra Modi Stadium, Ahmedabad",GT,SRH,League,SRH,Bowl,224.0,6.0,186.0,6.0,completed,GT,38,Unknown,0.0,Prasidh Krishna,Shubman Gill,76.0,Jaydev Unadkat,3--35,60.0,42.85714285714285,0.4,0.6,1.4270462633451957,1.3948412698412698,1.596969696969697,1.7761194029850746
