iter	MultiClass
0	2.379200193
1	2.359684108
2	2.34269098
3	2.32296822
4	2.306391474
5	2.294291952
6	2.276326123
7	2.259302265
8	2.242038502
9	2.221977957
10	2.206721148
11	2.192278314
12	2.175527302
13	2.159016856
14	2.139861147
15	2.124155062
16	2.107992063
17	2.094828035
18	2.078240757
19	2.064166295
20	2.051525647
21	2.035363642
22	2.022141443
23	2.005045051
24	1.991669337
25	1.977553743
26	1.963571768
27	1.948601007
28	1.933940824
29	1.92106082
30	1.907911787
31	1.894357134
32	1.880795366
33	1.868403233
34	1.852768893
35	1.838721501
36	1.826080692
37	1.814205983
38	1.802145727
39	1.791106793
40	1.780307222
41	1.767820367
42	1.754175504
43	1.740775464
44	1.727901014
45	1.716992934
46	1.704670754
47	1.692562857
48	1.681121357
49	1.669588412
50	1.660362088
51	1.647951754
52	1.635323215
53	1.623667839
54	1.613136399
55	1.605857754
56	1.594772833
57	1.584674394
58	1.574298497
59	1.565629238
60	1.55378521
61	1.544229916
62	1.533062393
63	1.520635847
64	1.51075209
65	1.499205594
66	1.488459662
67	1.477318484
68	1.467667576
69	1.458999822
70	1.449032806
71	1.438857507
72	1.428893624
73	1.417410011
74	1.404465701
75	1.394882197
76	1.385227165
77	1.376337416
78	1.362608032
79	1.353886085
80	1.343958373
81	1.334260258
82	1.325191077
83	1.317588283
84	1.308106428
85	1.298591217
86	1.29000765
87	1.279929435
88	1.272012994
89	1.262966514
90	1.254222744
91	1.244252068
92	1.23661124
93	1.228527368
94	1.220199013
95	1.209796448
96	1.200869026
97	1.193059843
98	1.185332506
99	1.177793692
100	1.170456463
101	1.162510592
102	1.155239366
103	1.147375712
104	1.138367338
105	1.129995093
106	1.120781147
107	1.113232333
108	1.105524805
109	1.098672729
110	1.090657848
111	1.084211093
112	1.077876561
113	1.071113962
114	1.063448468
115	1.056361898
116	1.049749956
117	1.042630158
118	1.036472979
119	1.029541748
120	1.023076516
121	1.016282459
122	1.010010913
123	1.0026444
124	0.9967733817
125	0.9893703801
126	0.9826069589
127	0.9762469582
128	0.9696585356
129	0.9627760776
130	0.9561196364
131	0.9495981392
132	0.9428797807
133	0.9363584156
134	0.9303308732
135	0.9244495957
136	0.918441179
137	0.9121652673
138	0.9060800289
139	0.8997499536
140	0.8930996586
141	0.8863608935
142	0.8811672201
143	0.874611628
144	0.869020521
145	0.8628160067
146	0.8571853577
147	0.8517108078
148	0.8461365828
149	0.8407806685
150	0.8362041068
151	0.830442719
152	0.824702541
153	0.8188987048
154	0.813694549
155	0.8081068982
156	0.8029889809
157	0.7967501495
158	0.7908935268
159	0.7858036494
160	0.7809596756
161	0.7754107205
162	0.7708583945
163	0.7663809923
164	0.7616496871
165	0.757265314
166	0.7522809362
167	0.7469010132
168	0.7426071286
169	0.7381316594
170	0.7334655618
171	0.7294062396
172	0.7251640211
173	0.7207283676
174	0.7155222598
175	0.7108881322
176	0.7069356948
177	0.7024257737
178	0.6982066608
179	0.6941945365
180	0.6899145535
181	0.6850590949
182	0.6803697697
183	0.6772219566
184	0.673457933
185	0.6690241515
186	0.6647047394
187	0.6608962079
188	0.6572462925
189	0.6534959491
190	0.6503184744
191	0.6459829309
192	0.641697448
193	0.6376436794
194	0.633919276
195	0.6305221614
196	0.6269792865
197	0.6235821686
198	0.6201388177
199	0.6170349023
200	0.6136539597
201	0.6099081993
202	0.6060042271
203	0.6032671365
204	0.6002080189
205	0.5969872329
206	0.5935443594
207	0.5906795413
208	0.5874638384
209	0.5842002786
210	0.5814245269
211	0.5781994621
212	0.5749570117
213	0.5722362681
214	0.5689979448
215	0.5655713255
216	0.56241436
217	0.5594174906
218	0.5566865897
219	0.5536385122
220	0.5501776595
221	0.5477531399
222	0.5448978608
223	0.5419066355
224	0.5387050488
225	0.5357050401
226	0.5329587167
227	0.5301355422
228	0.5277086196
229	0.5252734164
230	0.5225161594
231	0.5199570282
232	0.5173976617
233	0.5145747862
234	0.5119302828
235	0.5089982204
236	0.5066023354
237	0.5041089503
238	0.5016091094
239	0.4994296116
240	0.4969869574
241	0.494902515
242	0.4924507652
243	0.4897320935
244	0.4874455099
245	0.4848921996
246	0.4824415509
247	0.4799681214
248	0.4777302101
249	0.475778479
250	0.4732986735
251	0.471163024
252	0.4689232027
253	0.4669625134
254	0.464976424
255	0.4630539242
256	0.4606298006
257	0.4583788866
258	0.4563118263
259	0.4538677575
260	0.4516380714
261	0.4495688203
262	0.4476298684
263	0.4458713798
264	0.4436971869
265	0.441493728
266	0.4396927032
267	0.4378901727
268	0.4360512507
269	0.433981314
270	0.4318961963
271	0.4300810609
272	0.4279097899
273	0.4261079854
274	0.4243930993
275	0.4227167104
276	0.4210035358
277	0.4191169639
278	0.4175635907
279	0.4156852179
280	0.4141501416
281	0.4121420683
282	0.4103945394
283	0.408684322
284	0.4069024924
285	0.405148858
286	0.4032573428
287	0.40157239
288	0.3997500795
289	0.3981866725
290	0.3965521874
291	0.3948719223
292	0.393322853
293	0.3918803669
294	0.390196204
295	0.3886065534
296	0.3868580036
297	0.3852010438
298	0.3836766399
299	0.3820391394
