team,win_percentage
CSK,28.57142857142857
DC,57.14285714285714
GT,60.0
KKR,35.714285714285715
LSG,42.857142857142854
MI,50.0
PBKS,64.70588235294117
RCB,62.5
RR,28.57142857142857
SRH,42.857142857142854
Unknown,0.0
