team,avg_powerplay_runs
CSK,1.32
DC,1.3409090909090908
GT,1.4270462633451957
KKR,1.4717391304347827
LSG,1.4206500956022945
MI,1.495
PBKS,1.526148969889065
RCB,1.4883720930232558
RR,1.6958174904942966
SRH,1.3948412698412698
