team,avg_death_overs_runs
CSK,1.4597701149425288
DC,1.6548042704626333
GT,1.596969696969697
KKR,1.681159420289855
LSG,1.544378698224852
MI,1.8045602605863191
PBKS,1.8675078864353312
RCB,1.6824817518248176
RR,1.5473684210526315
SRH,1.7761194029850746
